id,scene,category,summary,detail,source_text,date,time,indexed_at
01KN2CPZG6F5298WQW9RYAV06A,brad-house,description,Brad's house is made of straw,Brad lives in a straw house that he considers sustainable and carbon-negative. The straw is locally sourced and hand-bundled.,"His beautiful, sustainable, carbon-negative straw house suddenly felt very thin. Because it was. It was straw.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQW9W8Q7XVV,brad-house,event,Brad gave a TEDx talk about his straw house,"Brad previously gave a TEDx talk at the Piglet Pines community center about his straw house. Eleven people attended, though he rounds up to fourteen, noting three were really engaged.","He'd given a TEDx talk about it at the Piglet Pines community center. Fourteen people came. Well, eleven, but three of them were really engaged.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQW9XMHX2S9,brad-house,event,Kevin sets up camera equipment outside Brad's house,"Kevin arrives at Brad's front yard with a tripod, camera, and ring light. He wears an undersized tank top with 'THE BIG BAD' written on his chest in Sharpie.","Kevin the Wolf stood in Brad's front yard, wrestling a ring light into position next to a camera on a tripod. He wore a tank top two sizes too small and had written ""THE BIG BAD"" across his chest in what appeared to be Sharpie.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWA0NQ9CV0,brad-house,event,Kevin films a UFC audition tape for Dana White,"Kevin is recording an audition tape addressed to Dana White, intending to demonstrate his lung capacity by blowing down Brad's house as a feat of 'raw demolition.'",This is my audition tape for Dana White. UFC. Professional. You know what that means?,,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWA263A7JE,brad-house,event,Kevin blows down Brad's straw house in one breath,"Kevin inhales deeply and blows down Brad's entire straw house in roughly four seconds. The front wall peels away first, followed by the rest of the structure collapsing.","The front wall went first. Just peeled away like wet paper. The straw scattered across the yard in a golden cloud, and the rest of the house followed. Walls folding, roof collapsing, the whole thing flattening in about four seconds.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWA4APJH0B,brad-house,event,Brad flees toward Terence's place,"After his house is destroyed, Brad grabs his phone and sandals and walks toward Terence's place, leaving Kevin doing a victory lap around the debris.",He grabbed his phone and his sandals and started walking toward Terence's place.,,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWA70AMKRY,brad-house,state,Brad considers calling Susan when threatened,"Brad's first instinct upon seeing Kevin outside is to call Susan, suggesting she is someone he turns to in a crisis.","""I should call Susan,"" he muttered.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWA9EY45G3,brad-house,description,Kevin has a distinctive throat-clearing habit,"Kevin clears his throat in a recognizable way that Brad can identify by sound alone, compared to a garbage disposal working through a chicken bone.","the unmistakable sound of Kevin clearing his throat the way he always did, like a garbage disposal working through a chicken bone.",,,2026-03-31T16:48:00Z
01KN2CPZG6F5298WQWAA4HK1EK,brad-house,state,Brad is into wellness culture,"Brad drinks smoothies, owns a yoga mat, uses language like 'energy's off' and 'Mercury's in retrograde,' and considers events 'off-brand.'","""Bro, I'm not really in a place where I can have visitors right now. Energy's off. Mercury's in retrograde.""",,,2026-03-31T16:48:00Z
01KN2CRAG7KMRQXR1PBY84RZEN,terence-house,description,Terence's house is built from architectural-grade timber,"Terence's house is built from timber curated from six different old-growth forests. Features interlocking tongue-and-groove joinery he designed himself, white oak posts, and a cedar shingle roof. Each beam was selected for grain density, tonal resonance, and emotional character.","this house is built from architectural-grade timber curated from six different old-growth forests. Each beam was selected for grain density, tonal resonance, and emotional character.",,,2026-03-31T16:48:44Z
